nombre,nombre_completo,apellido_paterno,apellidos_completos,documento_identidad,ruc,pasaporte,telefono_fijo,telefono_celular,correo_electronico,direccion_completa,genero,raza_etnia,religion,orientacion_sexual,discapacidad,nivel_educativo_padres,fecha_nacimiento,departamento,provincia,distrito,codigo_ubigeo,latitud,longitud,monto_transaccion,edad,ocupacion,fecha_formato_patron,direccion_ip,numero_tarjeta,iban
Ibán,Ibán Manjón Mayol,Manjón,Manjón Mayol,49962436,20499624365,VT513822,(04) 180295,+51959972115,ibán.manjón@grupo.es,Rambla de Nicanor Pérez 707 Puerta 5 ,Masculino,Afroperuana,Otras,N/A,False,Técnico,1988-10-05,Arequipa,Arequipa,Yanahuara,040127,-16.348769922608852,-71.55700217266804,4198.14,37,Psicólogo,05/10/1988,215.239.248.0,4947-XXXX-XXXX-0485,PE18050092470355911442
Loreto,Loreto Maza Jódar,Maza,Maza Jódar,24248518,20242485181,FS712511,(08) 301681,+51900577278,loreto.maza@milla.com,Paseo Jorge Lumbreras 23,Masculino,Mestiza,Otras,LGBTQ+,True,Universitario,1999-07-01,Junín,Huancayo,El Tambo,120101,-12.028993439869803,-75.21758107112565,3742.41,26,Bibliotecarios,01/07/1999,97.190.136.8,4355-XXXX-XXXX-7318,PE73043960611152181754
Aurelia,Aurelia Echevarría Coll,Echevarría,Echevarría Coll,84132370,20841323705,QS032864,(02) 449228,+51994869701,aurelia.echevarría@ines.es,Cañada Humberto Lago 6 Piso 7 ,Femenino,Caucásica,Otras,LGBTQ+,False,Universitario,1985-07-03,Junín,Huancayo,El Tambo,120101,-12.027191782936217,-75.19216274664629,5722.22,40,Fisioterapeuta,03/07/1985,129.131.178.170,4887-XXXX-XXXX-8465,PE95863460935716147777
Águeda,Águeda Mercader Cuevas,Mercader,Mercader Cuevas,77273332,10772733322,LS443360,(00) 631181,+51989412019,águeda.mercader@pilar.org,Avenida Octavio Rodríguez 96 Piso 4 ,Masculino,Andina,Agnóstica,Heterosexual,False,Primaria,1965-08-22,Cusco,Cusco,San Sebastián,080132,-13.547046137142113,-72.01145214545241,3414.44,60,Profesor de idiomas,22/08/1965,187.147.104.132,4058-XXXX-XXXX-6894,PE80277841867201212151
Abigaíl,Abigaíl Baró Murcia,Baró,Baró Murcia,84791308,20847913082,HL258361,(03) 159763,+51916954449,abigaíl.baró@cerezo.org,Calle Ceferino Valderrama 751 Apt. 72 ,Femenino,Caucásica,Otras,LGBTQ+,True,Primaria,1965-11-08,Cusco,Cusco,San Sebastián,080132,-13.51900285160726,-72.01996420011841,6347.57,59,Ecónomo y mayordomos domésticos,08/11/1965,149.145.207.27,4896-XXXX-XXXX-3016,PE97341474321420867298
Gil,Gil Saez Nicolás,Saez,Saez Nicolás,79154924,10791549240,GR292955,(03) 021537,+51910704090,gil.saez@juarez.es,Vial Alfredo Sanchez 317,Masculino,Afroperuana,Agnóstica,LGBTQ+,True,Postgrado,1999-05-21,Arequipa,Arequipa,Yanahuara,040127,-16.388599042354112,-71.5801456704586,6034.7,26,Soplador de vidrio,21/05/1999,190.93.135.229,4281-XXXX-XXXX-3207,PE09527817027284865586
Nacio,Nacio Leon Saldaña,Leon,Leon Saldaña,48519023,10485190232,KM767298,(02) 195457,+51957952143,nacio.leon@bosch.org,Cuesta Graciano Iriarte 83 Apt. 35 ,No Binario,Afroperuana,Católica,LGBTQ+,True,Primaria,1999-12-04,La Libertad,Trujillo,Huanchaco,130103,-8.063449261478782,-79.11766620706187,1688.48,25,Gerente de hoteles o restaurantes,04/12/1999,112.37.27.55,4864-XXXX-XXXX-7218,PE38731382289521208226
Victorino,Victorino Morell Abad,Morell,Morell Abad,53300454,20533004542,BV318749,(03) 705973,+51947657553,victorino.morell@construccion.com,C. de Hector Roldan 7,No Binario,Afroperuana,Agnóstica,LGBTQ+,True,Técnico,1991-03-11,Junín,Huancayo,El Tambo,120101,-12.072162565460088,-75.21107043841326,4850.08,34,Personas que realizan trabajos varios,11/03/1991,162.222.116.208,4324-XXXX-XXXX-3625,PE88109682257193463767
Eleuterio,Eleuterio Riba Hernandez,Riba,Riba Hernandez,63510512,20635105120,HD952533,(09) 670175,+51979956153,eleuterio.riba@uribe.com,C. Sofía Pacheco 89,No Binario,Caucásica,Otras,LGBTQ+,False,Técnico,1994-10-30,La Libertad,Trujillo,Huanchaco,130103,-8.115824960882502,-79.14699169580337,3028.46,30,Director de recursos humanos,30/10/1994,100.178.165.223,4323-XXXX-XXXX-2371,PE90853330626930894321
Lázaro,Lázaro Llamas Ramírez,Llamas,Llamas Ramírez,53883766,10538837666,HH572896,(08) 388674,+51926532589,lázaro.llamas@espana.org,Alameda Elba Pacheco 97 Piso 6 ,Femenino,Afroperuana,Otras,Heterosexual,True,Postgrado,1998-07-21,Arequipa,Arequipa,Yanahuara,040127,-16.42088277702117,-71.52859240256586,5347.89,27,Profesional de la salud y la higiene laboral y ambiental,21/07/1998,150.100.21.57,4835-XXXX-XXXX-5931,PE57549074515882322563
Teresa,Teresa León Águila,León,León Águila,73496008,20734960088,TT517742,(06) 617259,+51998003911,teresa.león@morell.com,Callejón de Ramón Camacho 69 Puerta 6 ,Masculino,Caucásica,Católica,LGBTQ+,False,Primaria,1979-10-26,Piura,Piura,Castilla,200103,-5.175327124257942,-80.59016496833974,8178.5,45,Ayudante de cocina,26/10/1979,76.170.176.142,4240-XXXX-XXXX-0021,PE85880860621408626745
Flavio,Flavio Expósito Gelabert,Expósito,Expósito Gelabert,28479917,20284799172,DA756079,(02) 532673,+51973353599,flavio.expósito@banca.com,C. Luisa Mate 52 Apt. 51 ,Femenino,Mestiza,Católica,LGBTQ+,True,Secundaria,1978-08-28,La Libertad,Trujillo,Huanchaco,130103,-8.04998024372312,-79.14862115224594,5106.84,47,Técnico en optometría y ópticos,28/08/1978,119.133.223.43,4621-XXXX-XXXX-5546,PE41361953845792298766
Nazaret,Nazaret Casals Guerra,Casals,Casals Guerra,50241262,10502412622,GD747945,(00) 878266,+51979578680,nazaret.casals@finanzas.com,Glorieta María Fernanda Sáenz 32,Masculino,Andina,N/A,N/A,False,Universitario,1990-01-22,Cusco,Cusco,San Sebastián,080132,-13.536743594851815,-71.92184997387052,4521.58,35,Maestro preescolar,22/01/1990,17.243.45.26,4994-XXXX-XXXX-8503,PE54265313204030840205
Ezequiel,Ezequiel Estévez Cisneros,Estévez,Estévez Cisneros,78482168,20784821682,BP370963,(09) 645822,+51963532888,ezequiel.estévez@maxi.org,Acceso Natanael Llorens 21 Apt. 16 ,Masculino,Andina,Agnóstica,LGBTQ+,True,Universitario,1971-03-06,La Libertad,Trujillo,Huanchaco,130103,-8.09436207510459,-79.11197924418944,3943.75,54,Vendedor por teléfono,06/03/1971,145.104.222.137,4901-XXXX-XXXX-4439,PE95443887319682479679
Rogelio,Rogelio Moll Chaparro,Moll,Moll Chaparro,95440280,20954402800,SQ391219,(03) 042721,+51990623700,rogelio.moll@infraestructuras.es,Glorieta de Olga Sáez 6 Puerta 6 ,No Binario,Andina,Otras,LGBTQ+,False,Técnico,1989-02-16,Cusco,Cusco,San Sebastián,080132,-13.475204446055832,-72.00519393172085,6698.28,36,Especialista en métodos pedagógicos,16/02/1989,88.55.159.116,4333-XXXX-XXXX-0456,PE14372004024082401910
Esperanza,Esperanza Andres Plaza,Andres,Andres Plaza,97931489,10979314897,AX257617,(01) 086257,+51931088641,esperanza.andres@villalobos.es,Plaza Cruz Vila 336 Apt. 09 ,No Binario,Afroperuana,Otras,N/A,False,Primaria,1978-11-19,Arequipa,Arequipa,Yanahuara,040127,-16.435921237807033,-71.57887194973245,8285.62,46,Director de servicios de salud,19/11/1978,205.243.129.207,4836-XXXX-XXXX-8225,PE12849189903101875726
Dan,Dan Coca Valero,Coca,Coca Valero,84126954,20841269540,HH474880,(00) 645698,+51967722806,dan.coca@infraestructuras.com,Pasadizo de Clemente Diéguez 1,Femenino,Andina,Otras,Heterosexual,False,Secundaria,1999-08-04,Cusco,Cusco,San Sebastián,080132,-13.560321188009933,-71.93372342969343,6300.8,26,Ingeniero mecánico,04/08/1999,95.128.18.250,4117-XXXX-XXXX-5831,PE68731619149097032684
Dani,Dani Gual Noguera,Gual,Gual Noguera,80372982,20803729827,CX554601,(05) 568272,+51952517456,dani.gual@desarrollo.es,Camino Humberto Miralles 34 Piso 7 ,Masculino,Afroperuana,Agnóstica,Heterosexual,True,Postgrado,1987-10-04,Cusco,Cusco,San Sebastián,080132,-13.478900123946604,-71.99541970924548,6341.63,38,Modelador de vidrio,04/10/1987,40.21.42.13,4201-XXXX-XXXX-5230,PE83789452566961741471
Olivia,Olivia Pomares Rodrigo,Pomares,Pomares Rodrigo,86744344,20867443442,XD807371,(04) 259029,+51903949780,olivia.pomares@comercial.com,Cañada Valentina Mesa 22 Puerta 7 ,Femenino,Afroperuana,N/A,Heterosexual,True,Primaria,1994-09-11,Piura,Piura,Castilla,200103,-5.2033276206960535,-80.59933314044498,7187.97,31,Trabajador de cuidados personales en instituciones,11/09/1994,145.14.247.186,4570-XXXX-XXXX-9138,PE81861722913747526243
Mar,Mar Company Pérez,Company,Company Pérez,71241833,10712418334,RS269043,(06) 545233,+51927179539,mar.company@zabaleta.es,Camino de Custodia Cabanillas 75 Puerta 6 ,No Binario,Caucásica,Otras,LGBTQ+,False,Postgrado,1969-05-22,Cusco,Cusco,San Sebastián,080132,-13.502526898569375,-71.98057138340447,5024.03,56,Secretario ejecutivo,22/05/1969,144.2.33.152,4082-XXXX-XXXX-4339,PE57397261977618872336
Cecilia,Cecilia Abascal Plaza,Abascal,Abascal Plaza,17753704,10177537042,KX803829,(06) 066206,+51905798072,cecilia.abascal@finanzas.es,Paseo Andrea Rosa 8,Femenino,Andina,N/A,N/A,False,Universitario,1976-08-21,Piura,Piura,Castilla,200103,-5.198102639575674,-80.61596943821172,2085.59,49,Educador para necesidades especiales,21/08/1976,101.116.33.255,4215-XXXX-XXXX-0966,PE08147079742803506708
Débora,Débora Hoz Villegas,Hoz,Hoz Villegas,39732092,20397320927,HM043873,(05) 018933,+51967317974,débora.hoz@talleres.es,Calle Elpidio Ugarte 78,Masculino,Andina,Católica,LGBTQ+,False,Primaria,1971-04-29,La Libertad,Trujillo,Huanchaco,130103,-8.097592241956074,-79.12592811335387,4543.91,54,Dentista,29/04/1971,173.84.197.104,4206-XXXX-XXXX-3216,PE75665825647798461473
Luisina,Luisina Abellán Morillo,Abellán,Abellán Morillo,30331862,20303318629,XC529783,(08) 389515,+51939528498,luisina.abellán@despacho.es,Avenida Chus Torralba 5,Femenino,Afroperuana,Agnóstica,Heterosexual,True,Postgrado,2002-09-14,Lima,Lima,Miraflores,150122,-12.162029859423491,-77.07868090769124,2319.01,23,Operador de instalaciones mineras,14/09/2002,222.253.143.28,4102-XXXX-XXXX-0048,PE59279047731216284597
Florencia,Florencia Hernando González,Hernando,Hernando González,69937226,20699372268,HB745769,(06) 116922,+51946881702,florencia.hernando@servicios.es,Vial Martirio Ferrero 93,Masculino,Afroperuana,Agnóstica,Heterosexual,True,Técnico,1983-12-24,Lima,Lima,Miraflores,150122,-12.063784819658254,-77.03024401251149,1998.91,41,Operador de máquinas de tratamiento de pieles y cueros,24/12/1983,104.194.144.172,4644-XXXX-XXXX-8557,PE80085770101586784395
Adelaida,Adelaida Aller Plaza,Aller,Aller Plaza,79461981,10794619817,MX971350,(02) 484942,+51901453085,adelaida.aller@onofre.net,Pasadizo de Carlota Montserrat 622 Apt. 38 ,No Binario,Andina,Otras,N/A,False,Secundaria,1990-06-18,Arequipa,Arequipa,Yanahuara,040127,-16.431780933994773,-71.5285207196468,2314.16,35,Operador de grúas y aparatos elevadores,18/06/1990,130.119.250.136,4593-XXXX-XXXX-4326,PE95461182486473828535
Natividad,Natividad Chico Cifuentes,Chico,Chico Cifuentes,59856724,20598567249,FB097340,(04) 346090,+51967529489,natividad.chico@lopez.es,Cuesta Manuel Barberá 74,No Binario,Caucásica,N/A,Heterosexual,False,Primaria,1999-09-08,Cusco,Cusco,San Sebastián,080132,-13.524007420312614,-71.94019730784292,2856.13,26,Operador de máquinas de tratamiento de pieles y cueros,08/09/1999,104.45.119.127,4862-XXXX-XXXX-3766,PE35403863770714283567
Renata,Renata Bonilla Camino,Bonilla,Bonilla Camino,36012053,20360120538,CF093403,(00) 521606,+51979653800,renata.bonilla@hnos.com,Via Martin Pou 37,Femenino,Afroperuana,Otras,N/A,True,Primaria,1978-05-26,Arequipa,Arequipa,Yanahuara,040127,-16.40554649052853,-71.59500799492305,5540.66,47,Operario de la elaboración de productos lácteos,26/05/1978,172.73.120.235,4210-XXXX-XXXX-9985,PE70265903355236996856
Guadalupe,Guadalupe Escobar Llopis,Escobar,Escobar Llopis,76111687,10761116870,LD700599,(03) 060485,+51947985895,guadalupe.escobar@despacho.com,Calle Eugenia Carballo 72,No Binario,Caucásica,Agnóstica,N/A,False,Primaria,2001-01-16,Arequipa,Arequipa,Yanahuara,040127,-16.423518533571563,-71.54657305419546,3194.37,24,Profesional de la salud y la higiene laboral y ambiental,16/01/2001,137.187.126.250,4827-XXXX-XXXX-1886,PE81533319320506503359
Amada,Amada Villalonga Pino,Villalonga,Villalonga Pino,83061008,20830610088,HA227471,(01) 610324,+51909980320,amada.villalonga@consultoria.com,Calle de Encarnacion Girón 72,Femenino,Andina,Agnóstica,LGBTQ+,False,Técnico,2000-07-22,Junín,Huancayo,El Tambo,120101,-12.02518590065712,-75.19606058302789,8500.36,25,Guardián de prisión,22/07/2000,31.118.126.141,4707-XXXX-XXXX-9637,PE11593517375008074805
Yaiza,Yaiza Lucas Carbó,Lucas,Lucas Carbó,95056650,10950566509,XL009114,(05) 523053,+51975778498,yaiza.lucas@hnos.org,Avenida Gervasio Vicens 63,Masculino,Caucásica,Agnóstica,N/A,False,Técnico,1988-06-02,Piura,Piura,Castilla,200103,-5.198814811821624,-80.5895426850183,8040.35,37,Instalador y reparador de líneas eléctricas,02/06/1988,191.201.72.206,4026-XXXX-XXXX-2533,PE46865436585286345060
Hilda,Hilda Malo Huerta,Malo,Malo Huerta,32940611,20329406110,LV897955,(04) 636763,+51938569218,hilda.malo@hermanos.org,Ronda de Pablo Lloret 59,No Binario,Mestiza,Católica,N/A,True,Secundaria,1988-12-25,Lima,Lima,Miraflores,150122,-12.145701057495469,-76.99212206052877,3207.45,36,Agrónomo,25/12/1988,207.168.123.74,4808-XXXX-XXXX-1116,PE95032689981174661106
Leocadio,Leocadio Sosa Zorrilla,Sosa,Sosa Zorrilla,71942732,10719427325,RB314549,(00) 040127,+51902408390,leocadio.sosa@llabres.net,Ronda Ani Canet 246 Puerta 2 ,No Binario,Caucásica,Agnóstica,N/A,False,Técnico,1960-03-07,Arequipa,Arequipa,Yanahuara,040127,-16.35220818242885,-71.59841174138472,1617.21,65,Ingeniero electricista,07/03/1960,73.215.137.140,4809-XXXX-XXXX-9484,PE75726808788282986412
Saturnino,Saturnino Olmedo Sancho,Olmedo,Olmedo Sancho,94964434,10949644341,FD559025,(00) 256836,+51914309502,saturnino.olmedo@velez.es,Pasaje de Vasco Águila 809,Femenino,Mestiza,Otras,LGBTQ+,True,Universitario,1964-12-19,Cusco,Cusco,San Sebastián,080132,-13.498350266161845,-71.93231689585907,8639.16,60,Profesor de formación profesional,19/12/1964,205.33.137.207,4933-XXXX-XXXX-7811,PE82009472815233130264
Joel,Joel Jove Jódar,Jove,Jove Jódar,38051582,20380515826,QX351129,(02) 744414,+51958831669,joel.jove@restauracion.net,Plaza de Maribel Alba 14 Puerta 0 ,No Binario,Andina,Otras,Heterosexual,False,Técnico,1977-12-25,La Libertad,Trujillo,Huanchaco,130103,-8.0942730065355,-79.1561034921528,1936.62,47,Peón de jardinería y horticultura,25/12/1977,25.9.132.227,4259-XXXX-XXXX-2795,PE40556343175555378458
Wálter,Wálter Francisco Aguado,Francisco,Francisco Aguado,90026526,20900265264,PJ154667,(00) 082381,+51918096492,wálter.francisco@familia.es,Camino de José Luis Vives 92,Masculino,Mestiza,Otras,N/A,True,Universitario,1963-04-22,Cusco,Cusco,San Sebastián,080132,-13.521381875933663,-72.01853684299044,3811.9,62,Farmacéutico,22/04/1963,215.251.138.49,4094-XXXX-XXXX-0347,PE58725693568464030664
Maite,Maite Bermejo Peinado,Bermejo,Bermejo Peinado,68056151,20680561510,MS639528,(00) 752747,+51932637864,maite.bermejo@talleres.com,Rambla Amílcar Alberto 40,Femenino,Afroperuana,Católica,N/A,True,Postgrado,2001-11-07,Piura,Piura,Castilla,200103,-5.185958733844615,-80.65509024857319,1778.72,23,Ebanista,07/11/2001,22.186.9.247,4515-XXXX-XXXX-8227,PE94403580739444282365
Tiburcio,Tiburcio Cid Gabaldón,Cid,Cid Gabaldón,96838275,20968382759,CF477419,(02) 892643,+51910856888,tiburcio.cid@hermanos.com,Cuesta de Elpidio Vega 21 Apt. 61 ,Femenino,Andina,Agnóstica,Heterosexual,True,Universitario,1998-12-09,La Libertad,Trujillo,Huanchaco,130103,-8.095008391487253,-79.0955239435459,8246.42,26,Director de políticas y planificación,09/12/1998,117.162.114.239,4294-XXXX-XXXX-8080,PE29153479352368021234
Guiomar,Guiomar Cuesta Bellido,Cuesta,Cuesta Bellido,13697037,10136970375,QQ043585,(05) 174049,+51972634550,guiomar.cuesta@jafet.es,Alameda José Luis Ribes 547 Puerta 4 ,Femenino,Afroperuana,Agnóstica,N/A,True,Primaria,1960-04-08,Arequipa,Arequipa,Yanahuara,040127,-16.431507437217558,-71.52639343173445,5874.96,65,Electricista de obras,08/04/1960,169.8.139.47,4751-XXXX-XXXX-9065,PE53942802558067488730
Sofía,Sofía Toro Ros,Toro,Toro Ros,54517859,10545178597,RV833325,(03) 332041,+51986620971,sofía.toro@alimentacion.org,Urbanización Leticia Jimenez 77 Puerta 4 ,No Binario,Andina,Católica,LGBTQ+,False,Secundaria,1986-03-09,Junín,Huancayo,El Tambo,120101,-12.11608380165011,-75.22691923903092,2094.8,39,Director financiero,09/03/1986,18.239.150.120,4363-XXXX-XXXX-1044,PE88692960099222169025
Marisa,Marisa Amaya Pera,Amaya,Amaya Pera,70896288,10708962887,KA994145,(02) 346644,+51950145350,marisa.amaya@jauregui.es,Urbanización Cristina Salvador 195,Masculino,Andina,Católica,Heterosexual,False,Secundaria,1985-06-03,Arequipa,Arequipa,Yanahuara,040127,-16.36812258379977,-71.54268081434049,3802.31,40,Practicante y asistente médico,03/06/1985,7.29.108.50,4686-XXXX-XXXX-4962,PE49792326358439984495
Victorino,Victorino Ávila Sastre,Ávila,Ávila Sastre,19276256,10192762569,RX924901,(02) 950730,+51924932295,victorino.ávila@infraestructuras.com,Pasaje Maura Calderon 40 Puerta 9 ,Masculino,Caucásica,Otras,LGBTQ+,False,Universitario,1973-08-09,Arequipa,Arequipa,Yanahuara,040127,-16.371170150267957,-71.53904842273488,2881.32,52,Operador de máquinas de vapor y calderas,09/08/1973,170.187.166.174,4674-XXXX-XXXX-0169,PE09257275290821510930
Salud,Salud Hidalgo Pujol,Hidalgo,Hidalgo Pujol,40612900,10406129007,LL741977,(02) 898219,+51981543697,salud.hidalgo@inmobiliaria.com,Via de Camila Ramírez 1 Piso 2 ,No Binario,Afroperuana,Católica,N/A,True,Primaria,1984-09-29,Arequipa,Arequipa,Yanahuara,040127,-16.354193045815464,-71.5104517938913,2588.86,41,Director de teatro,29/09/1984,99.29.222.230,4107-XXXX-XXXX-0256,PE93452851296934161602
Gonzalo,Gonzalo Sotelo Ripoll,Sotelo,Sotelo Ripoll,19169390,20191693901,KQ389890,(09) 995147,+51973063488,gonzalo.sotelo@campillo.es,Camino de Vito Salas 1,No Binario,Afroperuana,Agnóstica,N/A,False,Postgrado,2004-02-01,Lima,Lima,Miraflores,150122,-12.135910867642576,-77.04278363215681,2204.49,21,Operador de máquinas para la fabricación de calzado,01/02/2004,177.241.164.187,4748-XXXX-XXXX-7119,PE56265582365197141822
Adelaida,Adelaida Rovira Uriarte,Rovira,Rovira Uriarte,95627842,20956278428,AJ182705,(08) 328066,+51923399092,adelaida.rovira@bolanos.es,Glorieta de Félix Llano 9,Masculino,Caucásica,Otras,N/A,False,Primaria,1986-04-24,La Libertad,Trujillo,Huanchaco,130103,-8.04318383454731,-79.10372962989952,7603.12,39,"Técnico en galerías de arte, museos y bibliotecas",24/04/1986,154.245.247.246,4462-XXXX-XXXX-7848,PE41296271102165399384
Emelina,Emelina Marqués Francisco,Marqués,Marqués Francisco,60476165,10604761657,XD653420,(07) 331298,+51968173541,emelina.marqués@compania.com,Cuesta Aarón Salvà 458 Apt. 93 ,Femenino,Afroperuana,Católica,LGBTQ+,True,Postgrado,1985-09-18,Arequipa,Arequipa,Yanahuara,040127,-16.435097509175883,-71.52961439880318,7419.82,40,Orfebre,18/09/1985,37.148.105.171,4144-XXXX-XXXX-7922,PE67239337042955735141
Lupita,Lupita Perelló Jurado,Perelló,Perelló Jurado,10850148,10108501488,DP317501,(06) 250884,+51990458233,lupita.perelló@tecnologias.es,Pasaje Teodora Tejero 5 Apt. 94 ,Femenino,Afroperuana,Otras,Heterosexual,True,Técnico,1965-06-30,Arequipa,Arequipa,Yanahuara,040127,-16.40445337981241,-71.58760516335167,5385.17,60,Operador de máquinas lavarropas,30/06/1965,188.227.243.97,4337-XXXX-XXXX-5860,PE19222356405317076653
Rico,Rico Mendizábal Ramirez,Mendizábal,Mendizábal Ramirez,56525859,10565258594,KK767963,(02) 047205,+51919912901,rico.mendizábal@carrera.org,Glorieta de Lourdes Hoz 57,Masculino,Mestiza,Católica,Heterosexual,True,Secundaria,1993-08-29,Piura,Piura,Castilla,200103,-5.2194312638115585,-80.65492532653148,7873.62,32,Director de investigación y desarrollo,29/08/1993,91.184.226.135,4097-XXXX-XXXX-9188,PE78436136783367966822
Sonia,Sonia Iñiguez Verdú,Iñiguez,Iñiguez Verdú,21420168,10214201685,NP551608,(01) 682130,+51988426021,sonia.iñiguez@banca.es,C. Íngrid Martín 43,Femenino,Mestiza,Agnóstica,LGBTQ+,False,Secundaria,2004-01-16,Lima,Lima,Miraflores,150122,-12.070283806049815,-77.05962371001858,8147.45,21,Trabajador agropecuario de subsistencia,16/01/2004,124.23.128.102,4872-XXXX-XXXX-9287,PE34194478981866704471
Diana,Diana Arcos Beltrán,Arcos,Arcos Beltrán,18989279,10189892792,TL745504,(08) 248207,+51994169859,diana.arcos@hnos.net,Vial Xavier Martí 2 Piso 5 ,No Binario,Caucásica,Agnóstica,N/A,False,Universitario,1979-07-08,La Libertad,Trujillo,Huanchaco,130103,-8.059831001383593,-79.15451230978772,7853.58,46,Analista de gestión y organización,08/07/1979,132.190.194.54,4816-XXXX-XXXX-2660,PE85169010593427532450
